text_id,source,candidate,target_score,sts_with_source,len_ratio_chars,len_ratio_words,abs_len_words,flesch_reading_ease,avg_syl_per_word,sentence_count
01-a2,"Now NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving 17,000 unaccounted for. Considering that a 19-metre asteroid that exploded above the city of Chelyabinsk in Russia in 2013 injured 1,200 people, these middle-sized asteroids would be a serious danger if they enter Earth's orbit.","NASA is now trying to find smaller asteroids. These asteroids are 140 metres wide or bigger. There are about 25,000 of them. NASA has found about 8,000 so far. This means 17,000 are still missing. In 2013, a 19-metre asteroid exploded over Chelyabinsk, Russia. It hurt 1,200 people. So, these medium-sized asteroids can be very dangerous if they come near Earth.",0.841,0.7641,0.8438228438228438,0.9382716049382716,76,72.88906762295083,1.1973684210526316,8
01-b1,"Now NASA is working towards logging some of the smaller asteroids, those measuring 140 metres wide or more. Of the 25,000 estimated asteroids of this size, so far about 8,000 have been logged, leaving 17,000 unaccounted for. Considering that a 19-metre asteroid that exploded above the city of Chelyabinsk in Russia in 2013 injured 1,200 people, these middle-sized asteroids would be a serious danger if they enter Earth's orbit.","NASA is now trying to record some of the smaller asteroids, those that are 140 meters wide or more. Scientists think there are 25,000 asteroids of this size. So far, they have logged about 8,000, leaving 17,000 not counted yet. In 2013, an asteroid that was 19 meters wide exploded over the city of Chelyabinsk in Russia and injured 1,200 people. These medium-sized asteroids can be a big danger if they come near Earth.",0.848,0.8374,0.9790209790209791,1.0493827160493827,85,71.77245945945948,1.2352941176470589,5
02-a2,"Earthquakes damage all structures, including bridges. Luckily, this kind of collapse is relatively infrequent, especially with modern bridges. Engineers have learned to design bridges in earthquake zones on areas that are much more resistant to movement.","Earthquakes can break things, like bridges. Luckily, bridges do not fall often, especially new ones. Engineers have learned to build bridges in places where the ground moves less during an earthquake.",0.7825,0.6584,0.7874015748031497,0.8809523809523809,37,73.54021505376345,1.2162162162162162,3
02-b1,"Earthquakes damage all structures, including bridges. Luckily, this kind of collapse is relatively infrequent, especially with modern bridges. Engineers have learned to design bridges in earthquake zones on areas that are much more resistant to movement.","Earthquakes can damage all buildings, including bridges. Fortunately, bridge collapses do not happen often, especially with new bridges. Engineers now know how to build bridges in earthquake areas on ground that moves less.",0.9453,0.8578,0.8779527559055118,0.9285714285714286,39,54.670000000000016,1.4102564102564104,3
03-a2,"The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each district by lottery to compete in a battle in which only one person can survive. The chosen teenagers are called ""tributes"". The whole nation is forced to watch the event on television.","The Hunger Games happen every year. The Capitol uses them to remind districts they are being punished for fighting back. Each year, one boy and one girl aged 12 to 18 are picked from each district by lottery. They must fight, and only one can win. These teenagers are called ""tributes"". Everyone has to watch the event on TV.",0.6548,0.8438,0.8530183727034121,0.9078947368421053,69,79.27450564971754,1.1884057971014492,6
03-b1,"The Hunger Games are an annual event, which the Capitol uses to remind the districts that they are being punished for rebelling. Every year one boy and one girl aged 12 to 18 are chosen from each district by lottery to compete in a battle in which only one person can survive. The chosen teenagers are called ""tributes"". The whole nation is forced to watch the event on television.","The Hunger Games happen every year. The Capitol uses them to show the districts they are being punished for fighting back. Each year, one boy and one girl, aged 12 to 18, are picked by lottery from each district. They have to compete in a fight where only one person can live. These chosen teenagers are called ""tributes"". Everyone in the nation must watch the event on television.",0.6517,0.8458,1.0,1.0394736842105263,79,75.89637254901962,1.2151898734177216,6
04-a2,"Small animals like birds, squirrels, mice and insects are a common sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities in bigger and bigger numbers. There have been bears in Vancouver parks, leopards on the streets of Mumbai and wild pigs in gardens in Berlin. What happens when bigger animals come into our cities? Are they welcome or are they considered a danger or a pest?","Small animals like birds, squirrels, mice, and insects are easy to see in many cities and towns. But now, there are many news stories about wild animals visiting cities more often. In Vancouver, there are bears in the parks. In Mumbai, leopards are on the streets. In Berlin, wild pigs are in the gardens. What happens when big animals come into our cities? Are people happy to see them, or do they think these animals are dangerous or a problem?",0.8438,0.8142,0.9823788546255506,1.043956043956044,95,73.62250000000002,1.2105263157894737,7
04-b1,"Small animals like birds, squirrels, mice and insects are a common sight in many cities and towns. But in recent years, the world's press has been full of reports of wild animals coming into cities in bigger and bigger numbers. There have been bears in Vancouver parks, leopards on the streets of Mumbai and wild pigs in gardens in Berlin. What happens when bigger animals come into our cities? Are they welcome or are they considered a danger or a pest?","Small animals like birds, squirrels, mice, and insects are often seen in many cities and towns. But recently, there have been many news reports about more wild animals coming into cities. There have been bears in parks in Vancouver, leopards on the streets of Mumbai, and wild pigs in gardens in Berlin. What happens when big animals come into our cities? Are they welcome, or are they seen as dangerous or a problem?",0.9096,0.861,0.9185022026431718,0.9340659340659341,85,69.17216438356166,1.2470588235294118,5
05-a2,"Potentially Hazardous Asteroids' are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the next one hundred years. With technology already available, NASA can track these objects and make predictions about possible impact, at which point two defence solutions could be launched.","'Potentially Hazardous Asteroids' are space rocks that come near Earth's path. NASA has a list of 1,400 of these rocks. They will not be dangerous to Earth in the next 100 years. NASA can now watch these rocks and guess if they might hit Earth. If they do, NASA has two ways to stop them.",0.6271,0.674,0.7461139896373057,0.9014084507042254,64,92.6118181818182,1.046875,5
05-b1,"Potentially Hazardous Asteroids' are rocks close enough to pass within 7.5 million kilometres of Earth's orbit. NASA has created a map of 1,400 PHAs, none of which are expected to be a threat in the next one hundred years. With technology already available, NASA can track these objects and make predictions about possible impact, at which point two defence solutions could be launched.","'Potentially Hazardous Asteroids' are rocks that can come as close as 7.5 million kilometers to Earth's path around the sun. NASA has made a map of 1,400 of these asteroids, and none of them are likely to hit Earth in the next one hundred years. With the technology we have now, NASA can watch these objects and guess if they might hit Earth. If there is a danger, NASA can use two ways to protect the planet.",0.846,0.8429,1.0595854922279793,1.2253521126760563,87,78.03776623376626,1.1839080459770115,4
